slide_name,permissible_angle,slide_height_um,slide_width_um,scanner_name,actual_angle,time_stamp,slide_id,load_identifier,offset_pos_x_um,offset_pos_y_um,row_index,col_index,row_col
H01CBA01P_105060,1.6572451397243082,75137.4,25584.0,H01CBA01P,0.031264417941168944,2021-04-20T17:02:26,105060,CS002-3-1618913997119,1150.0,3487.5,1,0,"1,0"
H01CBA03P_105179,1.927255808841055,74366.76,25662.0,H01CBA03P,0.0631768127603424,2021-04-20T17:21:15,105179,CS002-2-1618913997118,-962.5,1468.75,0,29,"0,29"
H01CBA01P_105063,1.637729109997555,74597.952,25623.0,H01CBA01P,0.2834156741866584,2021-04-20T17:21:53,105063,CS002-3-1618913997119,718.75,3375.0,1,3,"1,3"
H01CBA03P_105180,1.9183069684764993,74713.548,25662.0,H01CBA03P,-0.4087466107073865,2021-04-20T17:26:15,105180,CS002-2-1618913997118,325.0,1662.5,1,0,"1,0"
H01CBA01P_105064,1.6045679395798575,74675.016,25662.0,H01CBA01P,0.28312318916891677,2021-04-20T17:28:16,105064,CS002-3-1618913997119,293.75,3375.0,1,4,"1,4"
H01CBA03P_105181,1.8515683209604925,74867.67599999999,25740.0,H01CBA03P,-0.3137720879680023,2021-04-20T17:30:58,105181,CS002-2-1618913997118,325.0,1587.5,1,1,"1,1"
H01CBA01P_105065,1.5305688071377017,75214.46399999999,25740.0,H01CBA01P,0.031232384722890843,2021-04-20T17:34:15,105065,CS002-3-1618913997119,718.75,3375.0,1,5,"1,5"
H01CBA01P_105066,1.6657900419845173,74752.08,25584.0,H01CBA01P,0.2514053921288265,2021-04-20T17:37:01,105066,CS002-3-1618913997119,331.25,3331.25,1,6,"1,6"
H01CBA03P_105182,2.006476498873626,74944.74,25545.0,H01CBA03P,-0.062689587788089,2021-04-20T17:38:07,105182,CS002-2-1618913997118,912.5,1662.5,1,2,"1,2"
H01CBA01P_105067,1.801769151449564,74328.228,25389.0,H01CBA01P,0.22123397831545172,2021-04-20T17:42:20,105067,CS002-3-1618913997119,412.5,3487.5,1,7,"1,7"
H01CBA03P_105183,1.977146642154713,74867.67599999999,25584.0,H01CBA03P,-0.1568854558470178,2021-04-20T17:44:41,105183,CS002-2-1618913997118,287.5,1781.25,1,3,"1,3"
